aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
Harvard University,United States,0,Harvard University,466,1,1,private,95.2,7,36.1,27,70.5,19,93.5,1,97.7,3,96.4,1,"Mathematics & Statistics,Chemistry,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/harvard-university
California Institute of Technology caltech,United States,0,California Institute of Technology,128779,2,2,private,91.5,15,77.0,5,52.6,33,92.4,2,99.2,1,95.6,2,"Chemistry,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Mathematics & Statistics",/world-university-rankings/california-institute-technology
Massachusetts Institute of Technology,United States,0,Massachusetts Institute of Technology,471,3,3,private,91.9,14,50.0,13,84.2,11,91.7,3,94.9,6,93.3,4,"Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Chemistry",/world-university-rankings/massachusetts-institute-technology
Princeton University,United States,0,Princeton University,469,4,4,private,92.0,13,-,38,69.2,21,90.3,4,93.7,7,88.4,7,"Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Chemistry",/world-university-rankings/princeton-university
Stanford University,United States,11,Stanford University,467,5,5,private,91.4,16,59.9,8,30.0,46,90.1,5,97.5,4,94.4,3,"Physics & Astronomy,Chemistry,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics",/world-university-rankings/stanford-university
"University of California, Berkeley",United States,0,"University of California, Berkeley",474,6,6,public,87.9,21,-,39,42.2,39,88.5,6,97.9,2,88.4,8,"Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Chemistry,Mathematics & Statistics",/world-university-rankings/university-california-berkeley
University of Chicago,United States,11,University of Chicago,473,7,7,private,95.6,6,-,43,75.5,16,86.1,7,83.6,14,77.6,13,"Physics & Astronomy,Chemistry,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/university-chicago
University of Cambridge,United Kingdom,0,University of Cambridge,470,8,8,master_account,75.8,38,54.0,10,76.4,15,84.4,8,92.6,8,92.1,5,Mathematics & Statistics,/world-university-rankings/university-cambridge
Yale University,United States,0,Yale University,475,9,9,private,84.2,27,-,50,63.7,25,84.1,9,84.1,13,87.7,9,"Chemistry,Mathematics & Statistics,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/yale-university
University of Oxford,United Kingdom,0,University of Oxford,468,10,10,master_account,71.0,44,67.7,6,78.3,14,82.2,10,92.4,9,89.2,6,"Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Chemistry,Mathematics & Statistics",/world-university-rankings/university-oxford
ETH Zurich,Switzerland,0,ETH Zurich,479,11,11,master_account,65.1,48,-,35,98.3,1,80.5,11,95.0,5,83.9,12,"Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Chemistry",/world-university-rankings/eth-zurich
Cornell University,United States,0,Cornell University,484,12,12,private,89.7,19,36.3,26,61.9,26,80.4,12,82.3,15,73.2,16,"Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Chemistry,Mathematics & Statistics",/world-university-rankings/cornell-university
Imperial College London,United Kingdom,0,Imperial College London,472,13,13,master_account,70.0,46,50.7,12,84.5,10,80.3,13,89.0,11,87.4,10,"Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Mathematics & Statistics,Chemistry",/world-university-rankings/imperial-college-london
"University of California, Los Angeles",United States,0,"University of California, Los Angeles",477,14,14,public,82.4,29,-,41,48.2,36,79.6,14,85.3,12,75.9,14,"Chemistry,Physics & Astronomy,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/university-california-los-angeles
University of Washington,United States,0,University of Washington,489,15,15,public,95.8,5,38.1,22,64.3,24,79.1,15,74.6,18,67.2,20,"Physics & Astronomy,Mathematics & Statistics,Chemistry,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/university-washington
"University of California, Santa Barbara",United States,0,"University of California, Santa Barbara",499,16,16,public,93.0,11,100.0,3,66.5,22,78.6,16,75.8,17,61.9,25,"Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Chemistry,Mathematics & Statistics",/world-university-rankings/university-california-santa-barbara
Columbia University,United States,0,Columbia University,476,17,17,private,88.1,20,-,33,87.4,5,75.7,17,66.3,23,66.3,21,"Geology, Environmental, Earth & Marine Sciences,Chemistry,Mathematics & Statistics,Physics & Astronomy",/world-university-rankings/columbia-university
LMU Munich Ludwig-Maximilians-Universität München,Germany,6,LMU Munich,509,18,18,master_account,86.1,25,37.4,24,45.9,37,75.0,18,70.2,19,73.5,15,"Chemistry,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics",/world-university-rankings/lmu-munich
The University of Tokyo,Japan,0,The University of Tokyo,494,19,19,master_account,59.7,49,-,46,19.8,48,73.6,19,91.0,10,85.0,11,"Chemistry,Physics & Astronomy,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/university-tokyo
Northwestern University,United States,0,Northwestern University,490,20,20,private,92.2,12,-,36,59.9,28,71.9,20,63.9,28,54.7,36,"Chemistry,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics",/world-university-rankings/northwestern-university
University of Michigan-Ann Arbor,United States,0,University of Michigan-Ann Arbor,482,21,21,public,76.8,36,38.4,21,87.0,6,71.8,21,68.6,21,68.4,19,"Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Mathematics & Statistics,Chemistry",/world-university-rankings/university-michigan-ann-arbor
University of Göttingen,Germany,0,University of Göttingen,533,22,22,master_account,99.9,1,35.0,28,38.7,41,70.8,22,52.8,38,58.4,29,"Physics & Astronomy,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Chemistry",/world-university-rankings/university-gottingen
École Polytechnique,France,6,École Polytechnique,527,23,23,master_account,73.1,40,-,34,75.1,17,70.4,23,66.4,22,69.8,18,"Physics & Astronomy,Chemistry,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/ecole-polytechnique
University of Illinois at Urbana-Champaign,United States,0,University of Illinois at Urbana-Champaign,495,24,24,public,70.1,45,-,45,56.0,30,69.5,24,76.0,16,64.6,23,"Chemistry,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics",/world-university-rankings/university-illinois-urbana-champaign
University of Toronto,Canada,0,University of Toronto,483,25,25,master_account,72.2,41,-,47,-,50,68.3,25,65.7,24,65.8,22,"Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Chemistry,Mathematics & Statistics",/world-university-rankings/university-toronto
Pohang University of Science and Technology (POSTECH) postech,South Korea,0,Pohang University of Science and Technology (POSTECH),517,26,26,master_account,86.4,23,100.0,2,32.2,44,67.6,26,54.6,36,58.3,30,"Chemistry,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics",/world-university-rankings/pohang-university-science-and-technology-postech
University of Edinburgh,United Kingdom,0,University of Edinburgh,500,27,27,master_account,86.2,24,42.2,19,52.9,32,67.5,27,55.1,34,59.3,27,"Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Chemistry,Mathematics & Statistics",/world-university-rankings/university-edinburgh
University of Melbourne UniMelb Australia,Australia,11,University of Melbourne,501,28,28,master_account,80.1,31,47.6,15,85.9,9,66.9,28,60.2,31,53.9,38,"Mathematics & Statistics,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Chemistry",/world-university-rankings/university-melbourne
Heidelberg University,Germany,0,Heidelberg University,537,29,29,master_account,82.8,28,39.8,20,55.1,31,66.7,29,52.9,37,63.0,24,"Geology, Environmental, Earth & Marine Sciences,Chemistry,Mathematics & Statistics,Physics & Astronomy",/world-university-rankings/heidelberg-university-0
University of Colorado Boulder,United States,0,University of Colorado Boulder,541,29,29,public,79.7,33,-,44,41.6,40,66.7,30,65.5,25,54.7,37,"Chemistry,Mathematics & Statistics,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/university-colorado-boulder
Boston University,United States,0,Boston University,518,31,31,private,90.8,18,31.8,30,51.2,34,66.6,31,54.9,35,51.2,42,"Chemistry,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Mathematics & Statistics",/world-university-rankings/boston-university
Rice University,United States,0,Rice University,536,32,32,private,94.9,8,31.8,31,31.6,45,66.4,32,52.2,41,51.2,43,"Chemistry,Physics & Astronomy,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/rice-university
University of British Columbia ubc,Canada,11,University of British Columbia,486,33,33,master_account,72.0,42,42.6,18,91.3,3,66.2,33,62.9,29,58.9,28,"Chemistry,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy",/world-university-rankings/university-british-columbia
Carnegie Mellon University,United States,0,Carnegie Mellon University,485,34,34,private,94.0,10,43.2,17,32.2,43,65.9,34,51.3,43,50.5,44,"Physics & Astronomy,Mathematics & Statistics,Chemistry",/world-university-rankings/carnegie-mellon-university
University of Adelaide Adelaide University,Australia,0,University of Adelaide,665,34,34,master_account,91.3,17,59.7,9,82.2,12,65.9,35,42.8,47,51.9,41,"Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Chemistry,Physics & Astronomy",/world-university-rankings/university-adelaide
University of Hong Kong HKU Hong Kong University,Hong Kong,11,University of Hong Kong,498,36,36,master_account,79.9,32,53.6,11,90.2,4,65.8,36,52.6,40,56.5,31,"Chemistry,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Physics & Astronomy",/world-university-rankings/university-hong-kong
University of Sussex,United Kingdom,11,University of Sussex,563,37,37,master_account,97.8,3,32.6,29,72.0,18,65.6,37,41.3,48,47.8,47,"Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Chemistry",/world-university-rankings/university-sussex
"University of California, Santa Cruz",United States,0,"University of California, Santa Cruz",574,38,38,public,94.9,9,-,42,18.7,49,65.5,38,56.0,33,43.5,48,"Mathematics & Statistics,Chemistry,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy",/world-university-rankings/university-california-santa-cruz
University of Zurich,Switzerland,0,University of Zurich,525,39,39,master_account,80.5,30,43.5,16,86.8,7,65.3,39,51.7,42,56.1,32,"Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Chemistry,Physics & Astronomy",/world-university-rankings/university-zurich
"Royal Holloway, University of London",United Kingdom,11,"Royal Holloway, University of London",571,40,40,master_account,96.8,4,61.1,7,86.2,8,65.1,40,40.2,49,43.2,50,"Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy",/world-university-rankings/royal-holloway-university-london
"University of California, Irvine",United States,0,"University of California, Irvine",550,41,41,public,85.5,26,-,40,80.7,13,64.7,41,49.2,44,49.1,46,"Geology, Environmental, Earth & Marine Sciences,Chemistry,Mathematics & Statistics,Physics & Astronomy",/world-university-rankings/university-california-irvine
Peking University,China,0,Peking University,514,42,42,master_account,59.5,50,100.0,1,49.8,35,64.6,42,64.9,26,70.8,17,"Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Chemistry",/world-university-rankings/peking-university
"University of California, San Diego",United States,0,"University of California, San Diego",497,43,43,public,73.8,39,49.8,14,35.3,42,64.4,44,69.7,20,53.0,40,"Physics & Astronomy,Chemistry,Mathematics & Statistics",/world-university-rankings/university-california-san-diego
The Hong Kong University of Science and Technology hkust,Hong Kong,11,The Hong Kong University of Science and Technology,526,43,43,master_account,87.2,22,84.0,4,96.4,2,64.4,43,46.8,46,43.2,49,"Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Physics & Astronomy,Chemistry",/world-university-rankings/hong-kong-university-science-and-technology
University of Wisconsin,United States,0,University of Wisconsin,925,45,45,master_account,69.8,47,-,48,45.7,38,64.1,45,64.2,27,59.4,26,,/world-university-rankings/university-of-wisconsin
Lund University,Sweden,0,Lund University,544,46,46,master_account,75.9,37,36.6,25,57.4,29,63.9,46,61.7,30,53.2,39,"Geology, Environmental, Earth & Marine Sciences,Chemistry,Mathematics & Statistics,Physics & Astronomy",/world-university-rankings/lund-university
Brown University,United States,0,Brown University,513,47,47,private,79.1,35,-,32,59.9,27,63.8,47,52.6,39,54.9,35,"Physics & Astronomy,Chemistry,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/brown-university
William & Mary,United States,0,William & Mary,611,48,48,public,98.5,2,-,49,22.2,47,63.5,48,37.6,50,49.3,45,"Geology, Environmental, Earth & Marine Sciences,Chemistry,Mathematics & Statistics,Physics & Astronomy",/world-university-rankings/william-mary
Ohio State University (Main campus)  ,United States,0,Ohio State University (Main campus)  ,521,49,49,public,79.4,34,-,37,65.1,23,63.1,49,48.7,45,55.0,34,"Mathematics & Statistics,Chemistry,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/ohio-state-university-main-campus
Georgia Institute of Technology,United States,0,Georgia Institute of Technology,488,50,50,public,71.9,43,38.0,23,69.9,20,63.0,50,59.7,32,55.0,33,"Geology, Environmental, Earth & Marine Sciences,Chemistry,Mathematics & Statistics,Physics & Astronomy",/world-university-rankings/georgia-institute-technology
