Subject rank,Overall rank,University,Teaching quality,Student experience,Ofsted rating,Research quality,Entry points,Graduate prospects,Total score
1,20,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of glasgow', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3794/university-of-glasgow"">University of Glasgow</a>",85.8%,84.5%,..,32.5%,186,96.2%,100
2,1,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of cambridge', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3772/university-of-cambridge"">University of Cambridge</a>",n/a,n/a,4.0,36.6%,196,85.5%,99.5
3,5,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : durham university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3785/durham-university"">Durham University</a>",85.8%,78.2%,4.0,38.9%,175,87.0%,98.3
4,100=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of the west of scotland', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3871/university-of-the-west-of-scotland"">University of the West of Scotland</a>",89.1%,87.4%,..,7.5%,180,94.9%,97.4
5,15,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of birmingham', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3762/university-of-birmingham"">University of Birmingham</a>",88.0%,86.5%,4.0,40.9%,142,83.6%,96.9
6,23,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of dundee', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3784/university-of-dundee"">University of Dundee</a>",83.3%,79.7%,..,11.7%,173,97.5%,95
7,25,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of manchester', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3828/university-of-manchester"">University of Manchester</a>",n/a,n/a,4.0,46.0%,153,75.7%,94.9
8,45,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of stirling', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3856/university-of-stirling"">University of Stirling</a>",79.5%,73.8%,..,29.2%,173,94.6%,94.7
9,24,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of edinburgh', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3789/university-of-edinburgh"">University of Edinburgh</a>",75.0%,74.9%,..,23.1%,185,97.2%,94.6
10,-,Royal Conservatoire of Scotland,n/a,n/a,..,..,188,97.4%,93.6
11=,41,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of strathclyde', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3857/university-of-strathclyde"">University of Strathclyde</a>",76.6%,70.9%,..,19.8%,188,85.6%,92.4
11=,112,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of brighton', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3767/university-of-brighton"">University of Brighton</a>",89.1%,85.5%,4.0,1.6%,134,89.5%,92.4
13,59,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : brunel university london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3769/brunel-university-london"">Brunel University London</a>",86.2%,84.7%,4.0,20.4%,139,65.1%,91
14,99,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : st mary's university, twickenham', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3849/st-marys-university-twickenham"">St Mary's University, Twickenham</a>",85.9%,86.5%,4.0,1.8%,115,89.5%,90.4
15,72,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of chichester', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3777/university-of-chichester"">University of Chichester</a>",87.6%,85.3%,4.0,..,122,84.1%,90.3
16=,30,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of southampton', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3853/university-of-southampton"">University of Southampton</a>",86.1%,84.6%,3.0,41.1%,148,67.7%,90.2
16=,50,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : keele university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3805/keele-university"">Keele University</a>",89.2%,86.2%,3.5,25.0%,135,67.4%,90.2
18,66,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : northumbria university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3834/northumbria-university"">Northumbria University</a>",77.7%,80.7%,4.0,..,143,86.6%,89.8
19,32,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of reading', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3845/university-of-reading"">University of Reading</a>",85.1%,80.0%,3.0,25.8%,137,87.3%,89.6
20=,57,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of the west of england', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3870/university-of-the-west-of-england"">University of the West of England</a>",93.7%,92.7%,3.0,5.3%,133,84.7%,89.5
20=,16=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of york', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3875/university-of-york"">University of York</a>",79.2%,82.5%,3.0,43.3%,141,76.0%,89.5
22,21,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of sheffield', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3851/university-of-sheffield"">University of Sheffield</a>",n/a,n/a,3.0,32.9%,160,51.5%,88.9
23=,44,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : coventry university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3779/coventry-university"">Coventry University</a>",87.3%,89.3%,..,18.1%,117,78.3%,88.8
23=,55,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : bangor university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3758/bangor-university"">Bangor University</a>",77.2%,77.6%,..,39.6%,142,73.7%,88.8
25,83,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of gloucestershire', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3796/university-of-gloucestershire"">University of Gloucestershire</a>",89.1%,88.4%,3.7,..,121,77.4%,88.6
26=,7=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university college london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3824/university-college-london"">University College London</a>",n/a,n/a,3.5,40.2%,137,60.8%,88.4
26=,13,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of east anglia', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3786/university-of-east-anglia"">University of East Anglia</a>",82.7%,84.8%,3.0,27.2%,151,70.2%,88.4
28,52,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : liverpool hope university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3815/liverpool-hope-university"">Liverpool Hope University</a>",91.6%,91.3%,3.0,7.3%,121,81.3%,87.8
29,85,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of winchester', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3873/university-of-winchester"">University of Winchester</a>",85.3%,84.3%,3.5,2.2%,127,79.6%,87.6
30=,61=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of chester', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3776/university-of-chester"">University of Chester</a>",83.5%,79.8%,3.7,1.4%,128,79.4%,87.5
30=,9,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of warwick', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3869/university-of-warwick"">University of Warwick</a>",n/a,n/a,3.7,43.6%,140,65.1%,87.5
32,40,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of aberdeen', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3752/university-of-aberdeen"">University of Aberdeen</a>",n/a,n/a,..,7.6%,167,96.1%,87.4
33,70=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : liverpool john moores university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3816/liverpool-john-moores-university"">Liverpool John Moores University</a>",82.8%,82.3%,3.5,3.0%,140,72.2%,87
34,47=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : nottingham trent university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3836/nottingham-trent-university"">Nottingham Trent University</a>",83.9%,82.5%,3.3,2.6%,144,73.9%,86.8
35,65,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of huddersfield', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3802/university-of-huddersfield"">University of Huddersfield</a>",88.5%,84.7%,3.1,5.9%,127,77.9%,86.7
36,47=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : aberystwyth university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3754/aberystwyth-university"">Aberystwyth University</a>",91.4%,89.2%,..,..,120,69.4%,86.4
37,105,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : birmingham city university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3763/birmingham-city-university"">Birmingham City University</a>",88.1%,82.5%,3.0,1.8%,120,82.9%,85.6
38,81,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of derby', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3783/university-of-derby"">University of Derby</a>",86.2%,83.9%,3.4,1.1%,117,73.2%,85.4
39=,84,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : oxford brookes university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3839/oxford-brookes-university"">Oxford Brookes University</a>",76.5%,72.4%,3.5,3.3%,141,75.5%,85.2
39=,94,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : bath spa university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3760/bath-spa-university"">Bath Spa University</a>",78.5%,77.8%,3.7,3.2%,124,72.2%,85.2
41,53,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of portsmouth', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3842/university-of-portsmouth"">University of Portsmouth</a>",82.6%,80.3%,3.5,..,132,68.2%,85.1
42=,118,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : york st john university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3876/york-st-john-university"">York St John University</a>",79.7%,78.6%,3.3,1.5%,130,78.6%,85
42=,91,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : middlesex university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3830/middlesex-university"">Middlesex University</a>",85.7%,84.7%,3.0,14.9%,121,68.1%,85
44,89,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of hertfordshire', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3800/university-of-hertfordshire"">University of Hertfordshire</a>",85.9%,85.2%,3.0,..,117,81.9%,84.9
45,102=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of worcester', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3874/university-of-worcester"">University of Worcester</a>",87.5%,86.6%,3.0,2.5%,121,72.9%,84.7
46,10,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of leeds', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3809/university-of-leeds"">University of Leeds</a>",72.7%,73.2%,3.0,31.6%,145,65.3%,84.6
47,35,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : cardiff university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3774/cardiff-university"">Cardiff University</a>",75.8%,77.7%,..,35.3%,140,55.8%,84.4
48,70=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : sheffield hallam university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3852/sheffield-hallam-university"">Sheffield Hallam University</a>",83.2%,80.4%,3.3,2.0%,121,71.6%,84.3
49=,96,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of sunderland', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3859/university-of-sunderland"">University of Sunderland</a>",79.2%,78.5%,2.7,3.8%,130,90.6%,84.2
49=,67=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : de montfort university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3782/de-montfort-university"">De Montfort University</a>",78.6%,79.5%,..,11.2%,121,75.5%,84.2
51,127,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : wrexham glyndwr university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3867/wrexham-glyndwr-university"">Wrexham Glyndwr University</a>",94.1%,87.7%,..,..,116,56.0%,84.1
52,74,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of roehampton', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3847/university-of-roehampton"">University of Roehampton</a>",74.4%,75.2%,3.0,20.2%,119,81.3%,84
53,80,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : manchester metropolitan university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3829/manchester-metropolitan-university"">Manchester Metropolitan University</a>",82.4%,77.7%,2.7,5.8%,136,79.5%,83.9
54=,63=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : staffordshire university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3855/staffordshire-university"">Staffordshire University</a>",90.6%,83.2%,3.0,7.6%,119,60.0%,83.7
54=,111,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : canterbury christ church university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3773/canterbury-christ-church-university"">Canterbury Christ Church University</a>",81.0%,76.8%,3.0,2.8%,123,81.5%,83.7
56,61=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : edge hill university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3788/edge-hill-university"">Edge Hill University</a>",79.8%,76.3%,3.0,1.4%,127,81.6%,83.6
57,67=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : leeds trinity university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3811/leeds-trinity-university"">Leeds Trinity University</a>",81.8%,82.9%,3.0,..,114,81.3%,83.5
58,109=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of greenwich', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3797/university-of-greenwich"">University of Greenwich</a>",79.0%,77.0%,3.3,0.8%,135,65.7%,83.2
59,119=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : plymouth marjon university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3841/plymouth-marjon-university"">Plymouth Marjon University</a>",77.6%,72.6%,3.3,..,130,72.4%,82.9
60,86=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : plymouth university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3840/plymouth-university"">Plymouth University</a>",75.8%,76.6%,3.0,9.4%,119,78.3%,82.7
61=,117,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : kingston university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3807/kingston-university"">Kingston University</a>",87.3%,82.5%,3.0,..,110,68.3%,82.5
61=,124,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of bolton', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3764/university-of-bolton"">University of Bolton</a>",n/a,n/a,..,3.1%,90,73.7%,82.5
61=,95,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : bishop grosseteste university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3877/bishop-grosseteste-university"">Bishop Grosseteste University</a>",83.1%,77.6%,3.1,1.4%,118,69.9%,82.5
64,108,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of bedfordshire', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3761/university-of-bedfordshire"">University of Bedfordshire</a>",89.2%,87.3%,2.4,3.1%,113,73.9%,82.1
65,106=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : london south bank university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3826/london-south-bank-university"">London South Bank University</a>",84.0%,79.1%,3.0,..,100,77.9%,82
66,125,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of cumbria', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3781/university-of-cumbria"">University of Cumbria</a>",76.8%,70.7%,3.0,0.4%,121,82.2%,81.9
67,123,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : leeds beckett university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3810/leeds-beckett-university"">Leeds Beckett University</a>",79.9%,78.7%,3.0,2.3%,112,73.3%,81.7
68,119=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of south wales', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3882/university-of-south-wales"">University of South Wales</a>",80.8%,74.3%,..,..,136,60.0%,81.5
69,104,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of wales, trinity st david', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3868/university-of-wales-trinity-st-david"">University of Wales, Trinity St David</a>",87.9%,83.3%,..,..,121,50.6%,81.4
70,97,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of northampton', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3833/university-of-northampton"">University of Northampton</a>",79.9%,77.2%,3.0,1.8%,116,67.9%,81.1
71,28=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : king's college london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3819/kings-college-london"">King's College London</a>",84.0%,76.2%,3.0,17.4%,108,52.6%,80.9
72=,121,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : newman university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3832/newman-university"">Newman University</a>",76.5%,74.1%,3.0,2.2%,122,70.0%,80.8
72=,93,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of central lancashire', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3775/university-of-central-lancashire"">University of Central Lancashire</a>",77.1%,75.0%,..,..,134,62.1%,80.8
74=,92,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : teesside university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3863/teesside-university"">Teesside University</a>",79.3%,76.0%,..,15.0%,120,54.2%,80.3
74=,113,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : anglia ruskin university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3755/anglia-ruskin-university"">Anglia Ruskin University</a>",88.1%,84.8%,3.0,0.8%,111,48.1%,80.3
76,114,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of east london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3787/university-of-east-london"">University of East London</a>",79.2%,78.2%,3.0,2.8%,120,56.0%,79.8
77,128,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : london metropolitan university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3825/london-metropolitan-university"">London Metropolitan University</a>",82.5%,79.4%,3.1,3.3%,100,55.9%,79.5
78,75=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of hull', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3803/university-of-hull"">University of Hull</a>",68.6%,65.4%,3.0,5.0%,124,73.3%,79.3
79,90,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : cardiff metropolitan university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3866/cardiff-metropolitan-university"">Cardiff Metropolitan University</a>",80.7%,77.4%,..,..,118,55.8%,79.2
80,73,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : ulster university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3865/ulster-university"">Ulster University</a>",76.6%,74.7%,..,27.5%,116,39.1%,77.7
